Ticker,Period,Fiscal Year,Period Start,Period End,Metric,Value,Unit,Currency,Audited,Statement Scope
BOPP,ANNUAL,2024,2024-01-01,2024-12-31,REVENUE,346893,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2024,2024-01-01,2024-12-31,OPERATING_PROFIT,103118,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2024,2024-01-01,2024-12-31,PROFIT_AFTER_TAX,92983,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_ASSETS,380963,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_EQUITY,307081,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2024,2024-01-01,2024-12-31,EPS,2.6719,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2024,2024-01-01,2024-12-31,SHARES_OUTSTANDING,34800000,COUNT,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2023,2023-01-01,2023-12-31,REVENUE,351611,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2023,2023-01-01,2023-12-31,OPERATING_PROFIT,110318,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2023,2023-01-01,2023-12-31,PROFIT_AFTER_TAX,102080,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_ASSETS,369175,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_EQUITY,291883,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2023,2023-01-01,2023-12-31,EPS,2.9333,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2022,2022-01-01,2022-12-31,REVENUE,340496,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2022,2022-01-01,2022-12-31,PROFIT_AFTER_TAX,160413,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_ASSETS,324730,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_EQUITY,268731,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2021,2021-01-01,2021-12-31,REVENUE,214174,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2021,2021-01-01,2021-12-31,PROFIT_AFTER_TAX,92414,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2021,2021-01-01,2021-12-31,TOTAL_ASSETS,223123,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2021,2021-01-01,2021-12-31,TOTAL_EQUITY,184639,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2020,2020-01-01,2020-12-31,REVENUE,123817,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2020,2020-01-01,2020-12-31,PROFIT_AFTER_TAX,24697,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2020,2020-01-01,2020-12-31,TOTAL_ASSETS,119115,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
BOPP,ANNUAL,2020,2020-01-01,2020-12-31,TOTAL_EQUITY,99634,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
