Ticker,Period,Fiscal Year,Period Start,Period End,Metric,Value,Unit,Currency,Audited,Statement Scope
CAL,ANNUAL,2025,2025-01-01,2025-12-31,OPERATING_INCOME,886039,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2025,2025-01-01,2025-12-31,PROFIT_AFTER_TAX,304911,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2025,2025-01-01,2025-12-31,TOTAL_ASSETS,11926719,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2025,2025-01-01,2025-12-31,TOTAL_EQUITY,1582169,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2025,2025-01-01,2025-12-31,EPS,0.1680,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2025,2025-01-01,2025-12-31,SHARES_OUTSTANDING,4233902,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2024,2024-01-01,2024-12-31,OPERATING_INCOME,802511,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2024,2024-01-01,2024-12-31,PROFIT_AFTER_TAX,267720,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_ASSETS,11688797,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_EQUITY,272564,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2024,2024-01-01,2024-12-31,EPS,0.2070,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2024,2024-01-01,2024-12-31,SHARES_OUTSTANDING,1034923,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2023,2023-01-01,2023-12-31,OPERATING_INCOME,832714,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2023,2023-01-01,2023-12-31,PROFIT_AFTER_TAX,-671068,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_ASSETS,9899846,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_EQUITY,-141002,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2023,2023-01-01,2023-12-31,EPS,-1.0711,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2023,2023-01-01,2023-12-31,SHARES_OUTSTANDING,627539,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2022,2022-01-01,2022-12-31,OPERATING_INCOME,791664,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2022,2022-01-01,2022-12-31,PROFIT_AFTER_TAX,-809810,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_ASSETS,9250554,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_EQUITY,531225,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2022,2022-01-01,2022-12-31,EPS,-1.2926,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2022,2022-01-01,2022-12-31,SHARES_OUTSTANDING,627539,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2021,2021-01-01,2021-12-31,OPERATING_INCOME,745723,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2021,2021-01-01,2021-12-31,PROFIT_AFTER_TAX,222852,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2021,2021-01-01,2021-12-31,TOTAL_ASSETS,10039979,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2021,2021-01-01,2021-12-31,TOTAL_EQUITY,1286682,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2021,2021-01-01,2021-12-31,EPS,0.3564,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2021,2021-01-01,2021-12-31,DIVIDEND_PER_SHARE,0.1100,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2021,2021-01-01,2021-12-31,SHARES_OUTSTANDING,626585,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
CAL,ANNUAL,2020,2020-01-01,2020-12-31,OPERATING_INCOME,688605,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
