Ticker,Period,Fiscal Year,Period Start,Period End,Metric,Value,Unit,Currency,Audited,Statement Scope
GOIL,ANNUAL,2020,2020-01-01,2020-12-31,REVENUE,4838010,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2020,2020-01-01,2020-12-31,OPERATING_PROFIT,151326,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2020,2020-01-01,2020-12-31,PROFIT_AFTER_TAX,90207,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2020,2020-01-01,2020-12-31,TOTAL_ASSETS,2101141,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2020,2020-01-01,2020-12-31,TOTAL_EQUITY,601024,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2020,2020-01-01,2020-12-31,EPS,0.23,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2020,2020-01-01,2020-12-31,DIVIDEND_PER_SHARE,0.045,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2020,2020-01-01,2020-12-31,SHARES_OUTSTANDING,391863128,COUNT,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2020,2020-01-01,2020-12-31,REVENUE,3075338,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2020,2020-01-01,2020-12-31,OPERATING_PROFIT,96420,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2020,2020-01-01,2020-12-31,PROFIT_AFTER_TAX,61557,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2020,2020-01-01,2020-12-31,TOTAL_ASSETS,1497794,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2020,2020-01-01,2020-12-31,TOTAL_EQUITY,449312,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2020,2020-01-01,2020-12-31,EPS,0.157,PER_SHARE_GHS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2020,2020-01-01,2020-12-31,DIVIDEND_PER_SHARE,0.045,PER_SHARE_GHS,GHS,TRUE,SEPARATE
