Ticker,Period,Fiscal Year,Period Start,Period End,Metric,Value,Unit,Currency,Audited,Statement Scope
GOIL,ANNUAL,2021,2021-01-01,2021-12-31,REVENUE,7536824,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2021,2021-01-01,2021-12-31,OPERATING_PROFIT,166899,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2021,2021-01-01,2021-12-31,PROFIT_AFTER_TAX,98740,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2021,2021-01-01,2021-12-31,TOTAL_ASSETS,2497227,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2021,2021-01-01,2021-12-31,TOTAL_EQUITY,684409,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2021,2021-01-01,2021-12-31,EPS,0.252,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2021,2021-01-01,2021-12-31,DIVIDEND_PER_SHARE,0.047,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2021,2021-01-01,2021-12-31,SHARES_OUTSTANDING,391863128,COUNT,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2021,2021-01-01,2021-12-31,REVENUE,4391176,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2021,2021-01-01,2021-12-31,OPERATING_PROFIT,112693,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2021,2021-01-01,2021-12-31,PROFIT_AFTER_TAX,61319,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2021,2021-01-01,2021-12-31,TOTAL_ASSETS,2094324,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2021,2021-01-01,2021-12-31,TOTAL_EQUITY,495276,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2021,2021-01-01,2021-12-31,EPS,0.156,PER_SHARE_GHS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2021,2021-01-01,2021-12-31,DIVIDEND_PER_SHARE,0.047,PER_SHARE_GHS,GHS,TRUE,SEPARATE
