Ticker,Period,Fiscal Year,Period Start,Period End,Metric,Value,Unit,Currency,Audited,Statement Scope
GOIL,ANNUAL,2024,2024-01-01,2024-12-31,REVENUE,19348106,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2024,2024-01-01,2024-12-31,OPERATING_PROFIT,244919,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2024,2024-01-01,2024-12-31,PROFIT_AFTER_TAX,84698,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_ASSETS,4808209,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_EQUITY,894082,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2024,2024-01-01,2024-12-31,EPS,0.216,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2024,2024-01-01,2024-12-31,DIVIDEND_PER_SHARE,0.056,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2024,2024-01-01,2024-12-31,SHARES_OUTSTANDING,391863128,COUNT,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2024,2024-01-01,2024-12-31,REVENUE,10583300,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2024,2024-01-01,2024-12-31,OPERATING_PROFIT,134976,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2024,2024-01-01,2024-12-31,PROFIT_AFTER_TAX,24681,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_ASSETS,3964870,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_EQUITY,564638,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2024,2024-01-01,2024-12-31,EPS,0.063,PER_SHARE_GHS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2024,2024-01-01,2024-12-31,DIVIDEND_PER_SHARE,0.056,PER_SHARE_GHS,GHS,TRUE,SEPARATE
