Ticker,Period,Fiscal Year,Period Start,Period End,Metric,Value,Unit,Currency,Audited,Statement Scope
GOIL,ANNUAL,2025,2025-01-01,2025-12-31,REVENUE,17226259,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2025,2025-01-01,2025-12-31,OPERATING_PROFIT,230020,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2025,2025-01-01,2025-12-31,PROFIT_AFTER_TAX,90672,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2025,2025-01-01,2025-12-31,TOTAL_ASSETS,4881934,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2025,2025-01-01,2025-12-31,TOTAL_EQUITY,991541,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2025,2025-01-01,2025-12-31,EPS,0.231,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2025,2025-01-01,2025-12-31,DIVIDEND_PER_SHARE,0.06,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2025,2025-01-01,2025-12-31,SHARES_OUTSTANDING,391863128,COUNT,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2025,2025-01-01,2025-12-31,REVENUE,9721299,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2025,2025-01-01,2025-12-31,OPERATING_PROFIT,117843,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2025,2025-01-01,2025-12-31,PROFIT_AFTER_TAX,15246,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2025,2025-01-01,2025-12-31,TOTAL_ASSETS,4341576,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2025,2025-01-01,2025-12-31,TOTAL_EQUITY,586671,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2025,2025-01-01,2025-12-31,EPS,0.039,PER_SHARE_GHS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2025,2025-01-01,2025-12-31,DIVIDEND_PER_SHARE,0.06,PER_SHARE_GHS,GHS,TRUE,SEPARATE
