Ticker,Period,Fiscal Year,Period Start,Period End,Metric,Value,Unit,Currency,Audited,Statement Scope
GOIL,ANNUAL,2022,2022-01-01,2022-12-31,REVENUE,20744046,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2022,2022-01-01,2022-12-31,OPERATING_PROFIT,203714,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2022,2022-01-01,2022-12-31,PROFIT_AFTER_TAX,123894,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_ASSETS,4609544,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_EQUITY,788824,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2022,2022-01-01,2022-12-31,EPS,0.316,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2022,2022-01-01,2022-12-31,DIVIDEND_PER_SHARE,0.056,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2022,2022-01-01,2022-12-31,SHARES_OUTSTANDING,391863128,COUNT,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2022,2022-01-01,2022-12-31,REVENUE,11186409,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2022,2022-01-01,2022-12-31,OPERATING_PROFIT,141917,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2022,2022-01-01,2022-12-31,PROFIT_AFTER_TAX,81306,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_ASSETS,3611624,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_EQUITY,557103,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2022,2022-01-01,2022-12-31,EPS,0.207,PER_SHARE_GHS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2022,2022-01-01,2022-12-31,DIVIDEND_PER_SHARE,0.056,PER_SHARE_GHS,GHS,TRUE,SEPARATE
