Ticker,Period,Fiscal Year,Period Start,Period End,Metric,Value,Unit,Currency,Audited,Statement Scope
GOIL,ANNUAL,2023,2023-01-01,2023-12-31,REVENUE,20606778,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2023,2023-01-01,2023-12-31,OPERATING_PROFIT,177150,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2023,2023-01-01,2023-12-31,PROFIT_AFTER_TAX,54706,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_ASSETS,4002542,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_EQUITY,826789,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2023,2023-01-01,2023-12-31,EPS,0.14,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2023,2023-01-01,2023-12-31,DIVIDEND_PER_SHARE,0.056,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2023,2023-01-01,2023-12-31,SHARES_OUTSTANDING,391863128,COUNT,GHS,TRUE,CONSOLIDATED
GOIL,ANNUAL,2023,2023-01-01,2023-12-31,REVENUE,11173373,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2023,2023-01-01,2023-12-31,OPERATING_PROFIT,112004,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2023,2023-01-01,2023-12-31,PROFIT_AFTER_TAX,17000,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_ASSETS,3258533,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_EQUITY,557362,GHS_THOUSANDS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2023,2023-01-01,2023-12-31,EPS,0.043,PER_SHARE_GHS,GHS,TRUE,SEPARATE
GOIL,ANNUAL,2023,2023-01-01,2023-12-31,DIVIDEND_PER_SHARE,0.056,PER_SHARE_GHS,GHS,TRUE,SEPARATE
