Ticker,Period,Fiscal Year,Period Start,Period End,Metric,Value,Unit,Currency,Audited,Statement Scope
MTNGH,ANNUAL,2023,2023-01-01,2023-12-31,REVENUE,13349471,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2023,2023-01-01,2023-12-31,OPERATING_PROFIT,6075871,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2023,2023-01-01,2023-12-31,PROFIT_AFTER_TAX,3982250,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_ASSETS,30958441,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_EQUITY,8619074,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2023,2023-01-01,2023-12-31,EPS,0.301,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2023,2023-01-01,2023-12-31,DIVIDEND_PER_SHARE,0.225,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2023,2023-01-01,2023-12-31,SHARES_OUTSTANDING,13236175050,COUNT,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2023,2023-01-01,2023-12-31,REVENUE,10592399,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2023,2023-01-01,2023-12-31,OPERATING_PROFIT,4581930,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2023,2023-01-01,2023-12-31,PROFIT_AFTER_TAX,3698605,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_ASSETS,13091462,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_EQUITY,7693173,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2023,2023-01-01,2023-12-31,EPS,0.279,PER_SHARE_GHS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2022,2022-01-01,2022-12-31,REVENUE,9916109,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2022,2022-01-01,2022-12-31,OPERATING_PROFIT,4364976,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2022,2022-01-01,2022-12-31,PROFIT_AFTER_TAX,2855801,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_ASSETS,22063875,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_EQUITY,5709700,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2022,2022-01-01,2022-12-31,EPS,0.232,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2022,2022-01-01,2022-12-31,SHARES_OUTSTANDING,12290474360,COUNT,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2022,2022-01-01,2022-12-31,REVENUE,8067322,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2022,2022-01-01,2022-12-31,OPERATING_PROFIT,3341457,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2022,2022-01-01,2022-12-31,PROFIT_AFTER_TAX,2686128,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_ASSETS,9660544,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2022,2022-01-01,2022-12-31,TOTAL_EQUITY,5067444,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2022,2022-01-01,2022-12-31,EPS,0.219,PER_SHARE_GHS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2021,2021-01-01,2021-12-31,REVENUE,7723259,GHS_THOUSANDS,GHS,,CONSOLIDATED
MTNGH,ANNUAL,2021,2021-01-01,2021-12-31,OPERATING_PROFIT,3213827,GHS_THOUSANDS,GHS,,CONSOLIDATED
MTNGH,ANNUAL,2021,2021-01-01,2021-12-31,PROFIT_AFTER_TAX,2001383,GHS_THOUSANDS,GHS,,CONSOLIDATED
MTNGH,ANNUAL,2021,2021-01-01,2021-12-31,TOTAL_ASSETS,17525409,GHS_THOUSANDS,GHS,,CONSOLIDATED
MTNGH,ANNUAL,2021,2021-01-01,2021-12-31,TOTAL_EQUITY,4363298,GHS_THOUSANDS,GHS,,CONSOLIDATED
MTNGH,ANNUAL,2020,2020-01-01,2020-12-31,REVENUE,5920720,GHS_THOUSANDS,GHS,,CONSOLIDATED
MTNGH,ANNUAL,2020,2020-01-01,2020-12-31,OPERATING_PROFIT,2300728,GHS_THOUSANDS,GHS,,CONSOLIDATED
MTNGH,ANNUAL,2020,2020-01-01,2020-12-31,PROFIT_AFTER_TAX,1394895,GHS_THOUSANDS,GHS,,CONSOLIDATED
MTNGH,ANNUAL,2020,2020-01-01,2020-12-31,TOTAL_ASSETS,9958650,GHS_THOUSANDS,GHS,,CONSOLIDATED
MTNGH,ANNUAL,2020,2020-01-01,2020-12-31,TOTAL_EQUITY,3339187,GHS_THOUSANDS,GHS,,CONSOLIDATED
