Ticker,Period,Fiscal Year,Period Start,Period End,Metric,Value,Unit,Currency,Audited,Statement Scope
MTNGH,ANNUAL,2025,2025-01-01,2025-12-31,REVENUE,24430308,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2025,2025-01-01,2025-12-31,OPERATING_PROFIT,11960724,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2025,2025-01-01,2025-12-31,PROFIT_AFTER_TAX,7839930,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2025,2025-01-01,2025-12-31,TOTAL_ASSETS,62391057,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2025,2025-01-01,2025-12-31,TOTAL_EQUITY,14171886,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2025,2025-01-01,2025-12-31,EPS,0.592,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2025,2025-01-01,2025-12-31,DIVIDEND_PER_SHARE,0.4,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2025,2025-01-01,2025-12-31,SHARES_OUTSTANDING,13236175050,COUNT,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2025,2025-01-01,2025-12-31,REVENUE,18562182,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2025,2025-01-01,2025-12-31,OPERATING_PROFIT,8237845,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2025,2025-01-01,2025-12-31,PROFIT_AFTER_TAX,6869404,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2025,2025-01-01,2025-12-31,TOTAL_ASSETS,20618213,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2025,2025-01-01,2025-12-31,TOTAL_EQUITY,11578561,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2025,2025-01-01,2025-12-31,EPS,0.519,PER_SHARE_GHS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2024,2024-01-01,2024-12-31,REVENUE,17948326,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2024,2024-01-01,2024-12-31,OPERATING_PROFIT,8144754,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2024,2024-01-01,2024-12-31,PROFIT_AFTER_TAX,5029065,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_ASSETS,42456345,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_EQUITY,10567177,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2024,2024-01-01,2024-12-31,EPS,0.38,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2024,2024-01-01,2024-12-31,DIVIDEND_PER_SHARE,0.24,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
MTNGH,ANNUAL,2024,2024-01-01,2024-12-31,REVENUE,13633151,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2024,2024-01-01,2024-12-31,OPERATING_PROFIT,5607273,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2024,2024-01-01,2024-12-31,PROFIT_AFTER_TAX,4332523,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_ASSETS,16455223,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_EQUITY,8944734,GHS_THOUSANDS,GHS,TRUE,SEPARATE
MTNGH,ANNUAL,2024,2024-01-01,2024-12-31,EPS,0.327,PER_SHARE_GHS,GHS,TRUE,SEPARATE
