Ticker,Period,Fiscal Year,Period Start,Period End,Metric,Value,Unit,Currency,Audited,Statement Scope
TOTAL,ANNUAL,2025,2025-01-01,2025-12-31,REVENUE,5603917,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2025,2025-01-01,2025-12-31,OPERATING_PROFIT,514545,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2025,2025-01-01,2025-12-31,PROFIT_AFTER_TAX,319082,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2025,2025-01-01,2025-12-31,TOTAL_ASSETS,1671174,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2025,2025-01-01,2025-12-31,TOTAL_EQUITY,552601,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2025,2025-01-01,2025-12-31,EPS,2.8522,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2025,2025-01-01,2025-12-31,REVENUE,5570680,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2025,2025-01-01,2025-12-31,OPERATING_PROFIT,496713,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2025,2025-01-01,2025-12-31,PROFIT_AFTER_TAX,325105,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2025,2025-01-01,2025-12-31,TOTAL_ASSETS,1579022,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2025,2025-01-01,2025-12-31,TOTAL_EQUITY,591401,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2025,2025-01-01,2025-12-31,EPS,2.9060,PER_SHARE_GHS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2024,2024-01-01,2024-12-31,REVENUE,6137363,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2024,2024-01-01,2024-12-31,OPERATING_PROFIT,495487,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2024,2024-01-01,2024-12-31,PROFIT_AFTER_TAX,291921,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_ASSETS,1935750,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_EQUITY,609823,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2024,2024-01-01,2024-12-31,EPS,2.6094,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2024,2024-01-01,2024-12-31,REVENUE,6111941,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2024,2024-01-01,2024-12-31,OPERATING_PROFIT,480757,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2024,2024-01-01,2024-12-31,PROFIT_AFTER_TAX,290636,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_ASSETS,1785167,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2024,2024-01-01,2024-12-31,TOTAL_EQUITY,657020,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2024,2024-01-01,2024-12-31,EPS,2.5979,PER_SHARE_GHS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2023,2023-01-01,2023-12-31,REVENUE,6058689,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2023,2023-01-01,2023-12-31,OPERATING_PROFIT,324946,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2023,2023-01-01,2023-12-31,PROFIT_AFTER_TAX,172271,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_ASSETS,1960104,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2023,2023-01-01,2023-12-31,TOTAL_EQUITY,486719,GHS_THOUSANDS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2023,2023-01-01,2023-12-31,EPS,1.5302,PER_SHARE_GHS,GHS,TRUE,CONSOLIDATED
TOTAL,ANNUAL,2023,2023-01-01,2023-12-31,REVENUE,6041455,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2023,2023-01-01,2023-12-31,OPERATING_PROFIT,322220,GHS_THOUSANDS,GHS,TRUE,SEPARATE
TOTAL,ANNUAL,2023,2023-01-01,2023-12-31,PROFIT_AFTER_TAX,169933,GHS_THOUSANDS,GHS,TRUE,SEPARATE
