Trading Date,GSE-CI,GSE-FSI,Market Capitalization,Total Volume,Total Value Traded
2025-01-31,5229.44,,117170630000.00,16111547,108604320.93
2025-02-28,5659.76,,127820290000.00,23278088,162639393.10
2025-03-31,6217.9,,136998730000.00,21951968,201913037.26
2025-04-30,6095.57,,135974370000.00,22875399,144898362.42
2025-05-31,6150.31,,136545480000.00,34534543,186648515.64
2025-06-30,6248.48,3376.01,137286090000.00,32179222,128291687.79
2025-07-31,6992.29,3427.06,146120150000.00,358198243,1730480165.03
2025-08-31,7330.37,3411.96,149598170000.00,45895456,203630026.22
2025-09-30,8168.35,3799.31,162594440000.00,45983242,189292066.21
2025-10-31,8385.35,4193.9,166537930000.00,44124276,217208851.97
2025-11-30,8610.15,4456.43,166484540000.00,38611789,192473302.83
2025-12-31,8770.25,4647.17,172042590000.00,87827624,274836277.55
2026-01-31,9006.51,4932.42,178835590000.00,167320004,705362197.11
2026-02-28,12869.2,7692.88,235736200000.00,201456072,989092688.07
2026-03-31,13060.13,7986.84,243727500000.00,193804792,1093155058.87
2026-04-30,15130.52,8839.41,285764890000.00,60936229,373411444.35
2026-05-31,14354.14,7853.48,262937710000.00,92737821,247610787.74
2026-06-30,14724.26,8269.37,287481680000.00,91554737,503638471.55
2026-07-31,15434.87,8238.07,292511660000.00,100366477,683535142.98
